Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
76,Kayle,Top,52.91%,1.37%,0.05%,6.23,5.15,5.85,5.73,8,17860,23437,7486,195.6,2.96,6.03,12138,26,4
77,Kayn,Jungle,49.83%,12.45%,1.97%,4.80,7.90,6.54,6.30,10,17629,31012,12230,47.0,9.56,76.60,11935,2,2
78,Kennen,Top,49.64%,2.02%,0.08%,4.72,5.39,5.51,6.17,7,19590,19712,1977,173.2,0.86,1.85,11224,45,9
79,Kha'Zix,Jungle,50.88%,13.41%,2.04%,7.25,8.71,5.64,5.60,12,17262,28792,12193,37.1,10.67,73.64,11845,1,1
80,Kindred,Jungle,50.84%,2.88%,0.09%,4.13,6.96,6.61,6.84,10,18179,24769,11296,47.0,12.13,69.32,11730,23,1
81,Kled,Top,48.11%,1.90%,0.10%,6.92,5.67,5.61,7.04,9,16862,33233,2794,156.9,1.74,2.85,11269,33,4
82,Kog'Maw,ADC,51.16%,3.39%,0.12%,4.73,7.74,6.81,6.64,11,23895,19879,3455,188.0,2.20,9.67,12952,9,1
83,LeBlanc,Middle,49.87%,4.12%,0.72%,5.78,7.92,5.45,6.02,10,19507,20430,4858,138.3,1.48,5.77,11118,34,0
84,Lee Sin,Jungle,49.44%,21.59%,1.27%,11.93,6.92,5.89,7.94,9,13672,28676,8091,35.0,9.35,66.51,11271,7,1
85,Leona,Support,54.49%,11.69%,3.91%,5.18,2.32,5.44,13.56,6,8106,21435,3817,43.7,0.08,0.11,9351,1,0
86,Lissandra,Middle,50.26%,1.26%,0.03%,3.91,5.50,5.99,8.13,8,19553,21694,3358,179.3,1.46,5.90,11579,33,4
87,Lissandra,Top,50.44%,0.51%,0.03%,5.28,4.60,5.74,7.39,8,18830,21589,3428,190.7,1.22,2.96,11549,36,1
88,Lucian,ADC,47.12%,7.70%,0.09%,9.62,7.23,6.12,6.63,10,19870,20386,3435,196.4,2.53,8.47,12887,15,4
89,Lulu,Support,51.68%,8.60%,1.47%,7.71,1.77,5.03,13.97,6,7059,14273,2281,18.0,0.14,0.19,9275,15,7
90,Lux,Middle,52.56%,5.41%,0.08%,5.63,6.28,5.21,8.66,8,21241,14549,1198,159.4,0.94,4.86,11443,14,2
91,Lux,Support,48.86%,3.57%,0.08%,7.54,4.32,6.22,11.18,10,17237,14366,1236,44.5,0.46,1.02,10576,19,4
92,Malphite,Support,48.40%,0.65%,0.18%,6.72,3.94,5.93,10.36,8,14106,18555,2309,42.2,0.46,1.48,9875,31,0
93,Malphite,Top,52.88%,4.05%,0.18%,4.25,4.88,4.63,7.84,7,17716,21298,1942,162.2,1.08,2.10,11038,19,1
