Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
,,,,,,,,,,,,,,,,,,,
50,Gnar,Top,48.68%,5.20%,0.33%,4.18,5.02,5.77,6.7,8,17880,27256,2663,162.4,1.33,2.23,11088,31,7
,,,,,,,,,,,,,,,,,,,
51,Gragas,Jungle,46.43%,2.38%,0.05%,6.48,4.35,5.27,9.31,10,12497,30607,12491,36.8,5.94,65.16,10342,44,1
,,,,,,,,,,,,,,,,,,,
52,Gragas,Middle,46.01%,0.43%,0.05%,14.07,7.13,6.24,6.59,8,19836,24977,7584,141.7,2.04,6.99,11147,45,0
,,,,,,,,,,,,,,,,,,,
53,Gragas,Top,47.57%,0.48%,0.05%,8.45,4.51,5.37,7.05,7,16250,27268,8694,148.6,1.32,3.09,10508,54,0
,,,,,,,,,,,,,,,,,,,
54,Graves,Jungle,47.00%,7.22%,0.14%,6.88,7.09,6.32,6.26,10,17764,23815,7633,65.1,9.97,76.73,12099,29,1
,,,,,,,,,,,,,,,,,,,
55,Hecarim,Jungle,48.81%,5.55%,0.69%,5.26,7.55,6.34,7.92,10,15624,32886,10880,43.4,7.31,72.13,11527,15,2
,,,,,,,,,,,,,,,,,,,
56,Heimerdinger,Middle,54.17%,1.14%,0.11%,7.1,5.64,6.17,6.99,8,24218,17568,1741,171.7,1.18,4.13,11547,22,5
,,,,,,,,,,,,,,,,,,,
57,Heimerdinger,Top,51.83%,1.75%,0.11%,6.05,4.97,6.2,5.86,8,23421,17856,1672,181.8,1.31,2.32,11538,27,8
,,,,,,,,,,,,,,,,,,,
58,Illaoi,Top,51.18%,2.86%,0.23%,5.35,5.19,6.32,4.73,9,22036,31493,7281,192.7,1.35,1.56,11832,16,11
,,,,,,,,,,,,,,,,,,,
59,Irelia,Top,50.99%,4.45%,0.24%,5.91,7.05,5.99,5.12,9,17467,27551,7688,179.8,1.72,2.26,11839,12,4
,,,,,,,,,,,,,,,,,,,
60,Ivern,Jungle,47.32%,0.71%,0.03%,6.53,2.52,4.96,12.14,5,8111,16129,7042,19,9.91,69.61,9684,47,0
,,,,,,,,,,,,,,,,,,,
61,Ivern,Support,40.88%,0.11%,0.03%,17.07,1.81,6.08,12.59,4,7151,18093,3531,18.6,3.08,14.54,9442,33,0
,,,,,,,,,,,,,,,,,,,
62,Janna,Support,53.89%,8.97%,0.69%,8.11,1.69,4.85,15,5,7332,14377,6917,15.6,0.1,0.12,9564,5,1
,,,,,,,,,,,,,,,,,,,
